ts,y
-0.7529502,0.0
-0.68152381,0.0
-0.43320815,0.0
-0.19654537,0.0
0.1153163,0.0
0.44251956,0.0
0.70483547,0.0
0.95834884,0.0
1.0120025,0.0
1.296702,0.0
1.2558749,0.0
1.2951091,0.0
1.3714817,0.0
1.2998038,0.0
1.1241721,0.0
0.98718766,0.0
0.88750929,0.0
0.82857414,0.0
0.62527721,0.0
0.53825775,0.0
0.26747462,0.0
-0.098459845,0.0
-0.50882622,0.0
-0.5482281,0.0
-0.5122634,0.0
-0.66324805,0.0
-0.69342821,0.0
-0.46892134,0.0
-0.15965851,0.0
0.20518612,0.0
0.43363318,0.0
0.79235795,0.0
1.1544361,0.0
1.4815555,0.0
1.4331834,0.0
1.3096124,0.0
1.2324853,0.0
1.2869773,0.0
1.3112891,0.0
1.298714,0.0
1.2424615,0.0
1.3601642,0.0
1.4190155,0.0
1.5238077,0.0
1.2061615,0.0
0.76435746,0.0
0.37654238,0.0
0.00021251864,0.0
-0.32179305,0.0
-0.63809791,0.0
-0.25908538,0.0
-0.1760061,0.0
-0.40562683,0.0
-0.61353462,0.0
-0.79109457,0.0
-1.1293639,0.0
-1.4806274,0.0
-1.745559,0.0
-1.7959263,0.0
-1.5785788,0.0
-1.283115,0.0
-0.95834297,0.0
-0.62560668,0.0
-0.46447815,0.0
-0.1703054,0.0
-0.056878288,0.0
-0.24198328,0.0
-0.49977217,0.0
-0.74238714,0.0
-0.96211549,0.0
-1.2567912,0.0
-1.3965422,0.0
-1.5732554,0.0
-1.7190088,0.0
-1.5854029,0.0
-1.4791184,0.0
-1.1563584,0.0
-0.89907248,0.0
-0.71497349,0.0
-0.40453699,0.0
-0.79174844,3.0
-0.75581593,3.0
-0.4806166,3.0
-0.18022809,3.0
0.16015961,3.0
0.53368776,3.0
0.78928202,3.0
0.95668382,3.0
1.1665127,3.0
1.2755848,3.0
1.3962501,3.0
1.4233209,3.0
1.4219855,3.0
1.301988,3.0
1.2253886,3.0
0.78612579,3.0
0.52585787,3.0
0.23299577,3.0
0.19712396,3.0
0.16811089,3.0
-0.051611558,3.0
-0.39369877,3.0
-0.77190058,3.0
-0.86986523,3.0
-0.78076231,3.0
-0.8684692,3.0
-0.62446803,3.0
-0.29391322,3.0
0.034517213,3.0
0.42042752,3.0
0.69532336,3.0
0.806702,3.0
1.1922481,3.0
1.5314219,3.0
1.4344284,3.0
1.4325468,3.0
1.394065,3.0
1.5486598,3.0
1.5654121,3.0
1.7067143,3.0
1.6911152,3.0
1.4798296,3.0
1.2205328,3.0
0.81028312,3.0
0.60506721,3.0
0.66157594,3.0
0.3067424,3.0
-0.062536984,3.0
-0.44923635,3.0
-0.72291826,3.0
-0.24165326,3.0
-0.30775209,3.0
-0.53597209,3.0
-0.80655846,3.0
-0.90907537,3.0
-1.1508308,3.0
-1.472281,3.0
-1.5742638,3.0
-1.5497605,3.0
-1.4764084,3.0
-1.2001166,3.0
-0.8208829,3.0
-0.55011444,3.0
-0.32395814,3.0
0.022135064,3.0
0.096731441,3.0
-0.0014759946,3.0
-0.18599429,3.0
-0.49032809,3.0
-0.72747052,3.0
-1.0084967,3.0
-1.2805398,3.0
-1.514089,3.0
-1.6750994,3.0
-1.6034165,3.0
-1.5093729,3.0
-1.2496452,3.0
-0.93268642,3.0
-0.6878355,3.0
-0.33366963,3.0
-0.79481169,5.0
-0.70601418,5.0
-0.67962126,5.0
-0.40566276,5.0
-0.20331705,5.0
0.085597442,5.0
0.25726872,5.0
0.52630054,5.0
0.89662252,5.0
1.2081763,5.0
1.3021351,5.0
1.4360351,5.0
1.4092317,5.0
1.3031321,5.0
1.0911677,5.0
0.90805945,5.0
0.73421809,5.0
0.40512771,5.0
0.031521283,5.0
-0.23076568,5.0
-0.51627841,5.0
-0.60050115,5.0
-0.7325244,5.0
-0.87809601,5.0
-0.76167391,5.0
-0.57616101,5.0
-0.32448987,5.0
-0.014343745,5.0
0.27269391,5.0
0.60630041,5.0
0.90348468,5.0
1.241314,5.0
1.6024865,5.0
1.6199645,5.0
1.5581464,5.0
1.4059472,5.0
1.4265923,5.0
1.4299941,5.0
1.4723987,5.0
1.5647153,5.0
1.688762,5.0
1.7875302,5.0
1.55451,5.0
1.1543347,5.0
0.75867553,5.0
0.44418923,5.0
0.040553527,5.0
-0.28284771,5.0
-0.61281785,5.0
-0.67756847,5.0
-0.36472441,5.0
-0.55410826,5.0
-0.7356329,5.0
-0.96865305,5.0
-1.1262481,5.0
-1.3822242,5.0
-1.5225994,5.0
-1.5701711,5.0
-1.3958547,5.0
-1.1797964,5.0
-0.92636572,5.0
-0.65492922,5.0
-0.37522292,5.0
-0.13352244,5.0
0.011521316,5.0
0.23374969,5.0
-0.012818821,5.0
-0.25141081,5.0
-0.48888843,5.0
-0.78190848,5.0
-0.95704016,5.0
-1.1134622,5.0
-1.3159604,5.0
-1.4723238,5.0
-1.5158369,5.0
-1.4133151,5.0
-1.1835501,5.0
-0.93252407,5.0
-0.66237788,5.0
-0.38349271,5.0
-0.9573383,11.0
-0.83822617,11.0
-0.60900426,11.0
-0.3271187,11.0
0.0019165827,11.0
0.26579748,11.0
0.53778047,11.0
0.86169568,11.0
1.0101217,11.0
1.1223695,11.0
1.2699515,11.0
1.3771355,11.0
1.3284667,11.0
1.2701203,11.0
1.1453254,11.0
1.0056205,11.0
0.89354143,11.0
0.7620511,11.0
0.4271643,11.0
0.19597313,11.0
-0.13750705,11.0
-0.39593029,11.0
-0.67033266,11.0
-0.97011036,11.0
-0.9519369,11.0
-0.83074299,11.0
-0.6403999,11.0
-0.32531823,11.0
0.0036607848,11.0
0.35688984,11.0
0.67844193,11.0
1.0436553,11.0
1.3323489,11.0
1.5070504,11.0
1.4836444,11.0
1.2702328,11.0
1.2559416,11.0
1.4195028,11.0
1.4924779,11.0
1.5538626,11.0
1.5367019,11.0
1.5823887,11.0
1.462095,11.0
1.1747518,11.0
0.82157903,11.0
0.47301994,11.0
0.077536183,11.0
-0.23281926,11.0
-0.49096117,11.0
-0.80531139,11.0
0.084569256,11.0
-0.10830574,11.0
-0.27743707,11.0
-0.60900426,11.0
-0.86720244,11.0
-1.1726066,11.0
-1.3760031,11.0
-1.600977,11.0
