ts,y
-1.1118588,0.0
-1.1119312,0.0
-1.1118131,0.0
-1.1119971,0.0
-1.1120138,0.0
-1.1120409,0.0
-1.1117629,0.0
-1.1118248,0.0
-1.1118719,0.0
-1.111886,0.0
-1.1119761,0.0
-1.1120657,0.0
-1.1120678,0.0
-1.1117898,0.0
-1.1118955,0.0
-1.1118823,0.0
-1.111793,0.0
-1.112015,0.0
-1.111953,0.0
-1.1120299,0.0
-1.1117844,0.0
-1.1121036,0.0
-1.1119462,0.0
-1.1121011,0.0
-1.1119944,0.0
-1.1118141,0.0
-1.1117947,0.0
-1.1120003,0.0
-1.1120247,0.0
-1.1120185,0.0
-1.1118788,0.0
-1.1119163,0.0
-1.1119066,0.0
-1.1117659,0.0
-1.1119435,0.0
-1.1120543,0.0
-1.1117827,0.0
-1.1119022,0.0
-1.1118069,0.0
-1.1116806,0.0
-1.1120957,0.0
-1.1119197,0.0
-1.1117646,0.0
-1.1120025,0.0
-1.1120563,0.0
-1.1117769,0.0
-1.1119574,0.0
-1.1116883,0.0
-1.1120899,0.0
-1.1117068,0.0
1.2958738,0.0
1.3817943,0.0
1.4246694,0.0
1.4250062,0.0
1.382029,0.0
1.3819931,0.0
1.3386945,0.0
1.3388212,0.0
1.2528553,0.0
1.2530177,0.0
1.2100157,0.0
1.2100627,0.0
1.1237677,0.0
1.1236964,0.0
1.080748,0.0
1.0810439,0.0
1.0809873,0.0
1.0380129,0.0
1.0380687,0.0
1.0378455,0.0
0.99497887,0.0
0.99510901,0.0
0.9950269,0.0
0.99508446,0.0
0.99471278,0.0
0.95210884,0.0
0.95185124,0.0
0.95170455,0.0
0.95175975,0.0
0.95188789,0.0
0.95170495,0.0
0.95203594,0.0
0.95180766,0.0
0.90906439,0.0
0.90887597,0.0
0.95203683,0.0
0.95169317,0.0
0.95209182,0.0
0.90895119,0.0
0.90902252,0.0
0.86610784,0.0
0.90877985,0.0
0.90885228,0.0
0.90898924,0.0
0.9090678,0.0
0.90903195,0.0
0.90874133,0.0
0.90907444,0.0
0.90874008,0.0
0.90873,0.0
0.90901942,0.0
0.90893067,0.0
